key,name,level,store,parentStoreTag,url,Tags
health-wellness/organic-products/frozen-blueberries,Frozen Blueberries,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/organic-products/frozen-blueberries,
canned-prepared-foods/baked-beans,Baked Beans,2,,,https://shop.countdown.co.nz/Shop/Browse/canned-prepared-foods/baked-beans,
pet-care/pet-wellbeing-supplements,Pet Wellbeing & Supplements,2,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/pet-wellbeing-supplements,
canned-prepared-foods/fish/anchovies,Anchovies,3,,,https://shop.countdown.co.nz/Shop/Browse/canned-prepared-foods/fish/anchovies,
home-kitchenware/plastic-picnicware-home-storage/flask,Flask,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/plastic-picnicware-home-storage/flask,
cleaning-homecare/gardening/fertiliser,Fertiliser,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/gardening/fertiliser,
meal-ingredients/simmer-sauces-meal-bases,Simmer Sauces & Meal Bases,2,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/simmer-sauces-meal-bases,
chocolate-sweets-snacks/chewing-gum/wrigleys-extra,Wrigleys Extra,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/chewing-gum/wrigleys-extra,
canned-prepared-foods/fruit/peaches,Peaches,3,,,https://shop.countdown.co.nz/Shop/Browse/canned-prepared-foods/fruit/peaches,
drinks-hot-cold/energy-drinks/berocca-forward,Berocca Forward,3,,,https://shop.countdown.co.nz/Shop/Browse/drinks-hot-cold/energy-drinks/berocca-forward,
chocolate-sweets-snacks/nuts-snack-mixes/crackers-cheese,Crackers & Cheese,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/nuts-snack-mixes/crackers-cheese,
frozen-foods/fries-vegetables/stir-fry,Stir Fry,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/fries-vegetables/stir-fry,
breakfast-foods/other-spreads/hazelnut-spread,Hazelnut Spread,3,,,https://shop.countdown.co.nz/Shop/Browse/breakfast-foods/other-spreads/hazelnut-spread,
breakfast-foods/peanut-butter/almond-peanut-butter,Almond Peanut Butter,3,,,https://shop.countdown.co.nz/Shop/Browse/breakfast-foods/peanut-butter/almond-peanut-butter,
cleaning-homecare/cleaning-products/toilet-freshener,Toilet Freshener,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/cleaning-products/toilet-freshener,
personal-care/cosmetics-fragrances/make-up-remover,Make Up Remover,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/cosmetics-fragrances/make-up-remover,
baby-care/baby-food-from-6-mths/farex-breakfast-on-the-go,Farex Breakfast On The Go,3,,,https://shop.countdown.co.nz/Shop/Browse/baby-care/baby-food-from-6-mths/farex-breakfast-on-the-go,
toys-party-needs/toys/figurines,Figurines,3,,,https://shop.countdown.co.nz/Shop/Browse/toys-party-needs/toys/figurines,
chocolate-sweets-snacks/nuts-snack-mixes/ginger,Ginger,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/nuts-snack-mixes/ginger,
frozen-foods/frozen-pies-pastry/savoury-short-pastry,Savoury Short Pastry,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/frozen-pies-pastry/savoury-short-pastry,
meat-seafood/chicken-other-poultry/duck,Duck,3,,,https://shop.countdown.co.nz/Shop/Browse/meat-seafood/chicken-other-poultry/duck,
cleaning-homecare/cleaning-products/toilet-cleaner,Toilet Cleaner,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/cleaning-products/toilet-cleaner,
clothing-manchester/sewing-needs-haberdashery/pins,Pins,3,,,https://shop.countdown.co.nz/Shop/Browse/clothing-manchester/sewing-needs-haberdashery/pins,
canned-prepared-foods/fish,Fish,2,,,https://shop.countdown.co.nz/Shop/Browse/canned-prepared-foods/fish,
health-wellness/medicine/lavender-oil,Lavender Oil,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/medicine/lavender-oil,
baking-cooking/icing-cake-decorating/icing,Icing,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/icing-cake-decorating/icing,
cleaning-homecare/rubbish-vacuum-bags/wheely-bin-liner,Wheely Bin Liner,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/rubbish-vacuum-bags/wheely-bin-liner,
frozen-foods/poultry/chicken-wing,Chicken Wing,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/poultry/chicken-wing,
bakery/cakes-muffins-biscuits-slices/gingerbread-man,Gingerbread Man,3,,,https://shop.countdown.co.nz/Shop/Browse/bakery/cakes-muffins-biscuits-slices/gingerbread-man,
baby-care/baby-toiletries/dermexa,Dermexa,3,,,https://shop.countdown.co.nz/Shop/Browse/baby-care/baby-toiletries/dermexa,
clothing-manchester/pantyhose-tights/tights-tall-xtall,Tights Tall - Xtall,3,,,https://shop.countdown.co.nz/Shop/Browse/clothing-manchester/pantyhose-tights/tights-tall-xtall,
meat-seafood/salmon,Salmon,2,,,https://shop.countdown.co.nz/Shop/Browse/meat-seafood/salmon,
frozen-foods/icecream-iceblocks/water-ices,Water Ices,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/icecream-iceblocks/water-ices,
drinks-hot-cold/tea/white-tea,White Tea,3,,,https://shop.countdown.co.nz/Shop/Browse/drinks-hot-cold/tea/white-tea,
health-wellness/medicine/epsom-salts,Epsom Salts,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/medicine/epsom-salts,
health-wellness/sports-weight-management/red-seal-fit-protein,Red Seal Fit Protein,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/sports-weight-management/red-seal-fit-protein,
deli-chilled-foods/yoghurt-dairy-food/dairy-food-6pk,Dairy Food 6pk,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/yoghurt-dairy-food/dairy-food-6pk,
meal-ingredients/gravy-stock/instant-gravy-mix,Instant Gravy Mix,3,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/gravy-stock/instant-gravy-mix,
drinks-hot-cold/tea/coffee-capsules,Coffee Capsules,3,,,https://shop.countdown.co.nz/Shop/Browse/drinks-hot-cold/tea/coffee-capsules,
frozen-foods/icecream-iceblocks/sorbet,Sorbet,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/icecream-iceblocks/sorbet,
deli-chilled-foods/yoghurt-dairy-food/coconut-yoghurt,Coconut Yoghurt,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/yoghurt-dairy-food/coconut-yoghurt,
chocolate-sweets-snacks/potato-vege-chips/kumara-crisps,Kumara Crisps,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/potato-vege-chips/kumara-crisps,
personal-care/hand-nail-foot-care/manicure,Manicure,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/hand-nail-foot-care/manicure,
health-wellness/dairy-and-lactose-free/crackers-n-dip,Crackers N Dip,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/dairy-and-lactose-free/crackers-n-dip,
cleaning-homecare/gardening/moss-control,Moss Control,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/gardening/moss-control,
pet-care/canned-pouched-cat-food/vip-fussy-cat,Vip Fussy Cat,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/canned-pouched-cat-food/vip-fussy-cat,
drinks-hot-cold/powdered-drink/raro,Raro,3,,,https://shop.countdown.co.nz/Shop/Browse/drinks-hot-cold/powdered-drink/raro,
office-entertainment/stationery-accessories/staple,Staple,3,,,https://shop.countdown.co.nz/Shop/Browse/office-entertainment/stationery-accessories/staple,
drinks-hot-cold/soft-drink/stoke,Stoke,3,,,https://shop.countdown.co.nz/Shop/Browse/drinks-hot-cold/soft-drink/stoke,
meal-ingredients/foods-of-the-world/asian,Asian,3,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/foods-of-the-world/asian,
deli-chilled-foods/cold-cuts/polish-sausage,Polish Sausage,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/cold-cuts/polish-sausage,
drinks-hot-cold/coffee,Coffee,2,,,https://shop.countdown.co.nz/Shop/Browse/drinks-hot-cold/coffee,
personal-care/acne-medicated-skin-care/toner,Toner,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/acne-medicated-skin-care/toner,
pet-care/canned-pouched-cat-food/fancy-feast-kitten,Fancy Feast Kitten,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/canned-pouched-cat-food/fancy-feast-kitten,
meat-seafood/sausages-small-goods/bbq-pack,Bbq Pack,3,,,https://shop.countdown.co.nz/Shop/Browse/meat-seafood/sausages-small-goods/bbq-pack,
health-wellness/sports-weight-management/horleys-protein-hit,Horleys Protein Hit,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/sports-weight-management/horleys-protein-hit,
deli-chilled-foods/dips-hummus-pate,"Dips, Hummus & Pate",2,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/dips-hummus-pate,
fruit-vegetables/other-vegetables/parsnip,Parsnip,3,,,https://shop.countdown.co.nz/Shop/Browse/fruit-vegetables/other-vegetables/parsnip,
chocolate-sweets-snacks/chocolate-blocks/green-blacks,Green & Blacks,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/chocolate-blocks/green-blacks,
deli-chilled-foods/sushi-yum-cha/chicken-wrap,Chicken Wrap,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/sushi-yum-cha/chicken-wrap,
health-wellness/sports-weight-management/aussie-bodies-super-fx,Aussie Bodies Super Fx,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/sports-weight-management/aussie-bodies-super-fx,
clothing-manchester/towels-sheets-manchester/pillow,Pillow,3,,,https://shop.countdown.co.nz/Shop/Browse/clothing-manchester/towels-sheets-manchester/pillow,
meal-ingredients/cooking-oil-spray/oil-spray,Oil Spray,3,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/cooking-oil-spray/oil-spray,
health-wellness/supplements-antioxidants/selenium,Selenium,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/supplements-antioxidants/selenium,
office-entertainment/dvds-books/cook-book,Cook Book,3,,,https://shop.countdown.co.nz/Shop/Browse/office-entertainment/dvds-books/cook-book,
home-kitchenware/kitchen-baking-accessories/pastry-brush,Pastry Brush,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/kitchen-baking-accessories/pastry-brush,
baking-cooking/food-wrap-kitchen-bags/elastic-food-cover,Elastic Food Cover,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/food-wrap-kitchen-bags/elastic-food-cover,
deli-chilled-foods/cold-cuts/luncheon,Luncheon,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/cold-cuts/luncheon,
personal-care/cosmetics-fragrances/eyeliner,Eyeliner,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/cosmetics-fragrances/eyeliner,
